==========================================
Lines of Code Report (Diff-based)
==========================================
Author: Chun Wee
Since: 2026-03-16
Generated: Sun Apr  5 01:26:40 +08 2026
==========================================

==========================================
ACTUAL CODE CHANGES PER FILE (NO BLANKS/COMMENTS)
==========================================
Tracked extensions: .cpp .hpp .h .c

File                                                                        Added    Deleted        Net
TheStove/EngineGraphics/SceneManagerPauseUi.cpp                                33         18         15
TheStove/EngineGraphics/SceneManagerText.cpp                                   12          7          5
TheStove/EngineGraphics/SceneManagerUpdate.cpp                                 36         22         14
TheStove/EngineGraphics/SceneObjectMetadata.cpp                                 5          2          3
TheStove/EngineGraphics/SceneObjectMetadata.hpp                                 5          2          3
TheStove/EngineGraphics/SceneViewportPresenter.cpp                              2          2          0
TheStove/EngineGraphics/Shader.cpp                                              5          3          2
TheStove/EngineGraphics/Shader.hpp                                              3          1          2
TheStove/EngineGraphics/Texture.cpp                                            68         16         52
TheStove/EngineGraphics/Texture.hpp                                            27          4         23
TheStove/EngineGraphics/VertexArray.cpp                                         5          4          1
TheStove/EngineGraphics/VertexArray.hpp                                         3          2          1
TheStove/EngineGraphics/VertexBuffer.cpp                                        3          2          1
TheStove/EngineGraphics/VertexBuffer.hpp                                        3          2          1
TheStove/EngineGraphics/VideoPlayer.cpp                                       250          0        250
TheStove/EngineGraphics/VideoPlayer.hpp                                        46          0         46
TheStove/EngineGraphics/stb_image.h                                          5829          0       5829
TheStove/Graphics/AnimationManager.cpp                                         12         13         -1
TheStove/Graphics/AnimationManager.hpp                                          1          1          0
TheStove/Graphics/Animator.hpp                                                  2          2          0
TheStove/Graphics/DebugRenderer.cpp                                             2          2          0
TheStove/Graphics/DebugRenderer.hpp                                             2          2          0
TheStove/Graphics/EntityManager.cpp                                             1          2         -1
TheStove/Graphics/EntityManager.hpp                                             1          1          0
TheStove/Graphics/GameObject.cpp                                                2          3         -1
TheStove/Graphics/GameObject.hpp                                                1          1          0
TheStove/Graphics/GraphicsEngine.cpp                                           37        759       -722
TheStove/Graphics/GraphicsEngine.hpp                                           11         11          0
TheStove/Graphics/GraphicsEngineEffects.cpp                                   151          0        151
TheStove/Graphics/GraphicsEnginePresentation.cpp                              255          0        255
TheStove/Graphics/GraphicsEngineRender.cpp                                    380         71        309
TheStove/Graphics/GraphicsEngineViewport.cpp                                   96          0         96
TheStove/Graphics/Layer.hpp                                                     2          2          0
TheStove/Graphics/Mesh.cpp                                                      6          6          0
TheStove/Graphics/Mesh.hpp                                                      2          2          0
TheStove/Graphics/MeshLoader.cpp                                                1          1          0
TheStove/Graphics/MeshLoader.hpp                                                2          2          0
TheStove/Graphics/ParticleSystem.cpp                                            5          5          0
TheStove/Graphics/ParticleSystem.hpp                                            3          3          0
TheStove/Graphics/Renderer.cpp                                                  1          1          0
TheStove/Graphics/Renderer.hpp                                                  1          1          0
TheStove/Graphics/ResourceManager.cpp                                          25         23          2
TheStove/Graphics/ResourceManager.hpp                                           4          7         -3
TheStove/Graphics/SceneCollisionLayout.cpp                                     11          7          4
TheStove/Graphics/SceneDebug.cpp                                                9          7          2
TheStove/Graphics/SceneManager.cpp                                            183       1748      -1565
TheStove/Graphics/SceneManager.hpp                                             84         61         23
TheStove/Graphics/SceneManagerAudio.cpp                                       158         42        116
TheStove/Graphics/SceneManagerCutscene.cpp                                    506          0        506
TheStove/Graphics/SceneManagerEffects.cpp                                     166          0        166
TheStove/Graphics/SceneManagerLoading.cpp                                     159         22        137
TheStove/Graphics/SceneManagerObjects.cpp                                     385          0        385
TheStove/Graphics/SceneManagerPauseUi.cpp                                     104          6         98
TheStove/Graphics/SceneManagerText.cpp                                        118          6        112
TheStove/Graphics/SceneManagerUpdate.cpp                                      183          3        180
TheStove/Graphics/SceneObjectMetadata.cpp                                      61          0         61
TheStove/Graphics/SceneObjectMetadata.hpp                                      53          0         53
